"Street_Name","Cross_Street"
"Concord Ave","Alpine St"
"GARDEN ST","Massachusetts Ave"
"Trowbridge St","HARVARD ST"
"Cambridge St","Columbia St"
"REMINGTON ST",""
"River St",""
"MOUNT AUBURN ST","Belmont St"
"Norfolk St","Bishop Allen Dr"
"MAIN ST","Newtowne Ct"
"Cambridge St","IRVING ST"
"Concord Ave","HURON AVE"
"Bishop Allen Dr",""
"Allston St",""
"MOUNT AUBURN ST","HOLYOKE ST"
"Massachusetts Ave","Churchill Ave"
"Massachusetts Ave","Albany St"
"MAIN ST","Windsor St"
"PLYMPTON ST","MILL ST"
"Massachusetts Ave","Western Ave"
"Alewife Brook Pky",""
"Belmont St","Cushing St"
"Cushing St",""
"Massachusetts Ave","Rice St"
"Kelley St","River St"
"DAVENPORT ST","ELM ST"
"Waterhouse St","Concord Ave"
"Windsor St","Cambridge St"
"Cambridge St","Camelia Ave"
"White St",""
"Cambridge St",""
"Concord Ave",""
"Brattle St","Larch Rd"
"Massachusetts Ave","RICE CIR"
"Tremont St","Cambridge St"
"Massachusetts Ave","GARDEN ST"
"Tremont St",""
"Portland St","Washington Ave"
"Massachusetts Ave",""
"Broadway","Galileo Galilei Way"
"Hampshire St","PROSPECT ST"
"Bennett St",""
"HARVEY ST",""
"Cambridge St","Warren Pl"
"Franklin St","Bay St"
"Hampshire St","PROSPECT ST"
"Concord Ave",""
"Broadway","Portland St"
"MOUNT AUBURN ST","Willard St"
"Broadway","ELLERY ST"
"Windsor St",""
"SPRING ST","SEVENTH ST"
"Western Ave",""
"Columbia St",""
"Third St","SPRING ST"
"Massachusetts Ave","MAGOUN ST"
"Walden St","Raymond St"
"HURON AVE",""
"Walden St","SAVILLE ST"
"Ames St","Amherst St"
"Massachusetts Ave","Sacramento St"
"Massachusetts Ave","Russell St"
"Broadway","HIGHLAND AVE"
"Broadway",""
"MEMORIAL DR","Massachusetts Ave"
"Concord Ave","HURON AVE"
"Massachusetts Ave",""
"Massachusetts Ave","ROSELAND ST"
"HOWARD ST","Western Ave"
"Binney St","Second St"
"White St",""
"Cambridge St","DAY ST"
"MAIN ST","Broadway"
"MOULTON ST","Concord Ave"
"Monsignor OBrien Hwy",""
"FENNO ST","ESTEN ST"
"HARVARD ST","Dana St"
"Belmont St","ERICSSON ST"
"Sixth St",""
"Massachusetts Ave","Rice St"
"HARVARD ST","ESSEX ST"
"MAIN ST","Osborn St"
"Rindge Ave","Cedar St"
"Massachusetts Ave","Blake St"
"White St",""
"Western Ave","MONTAGUE ST"
"Cambridge St",""
"Hampshire St","Portland St"
"Western Ave","Putnam Ave"
"PROSPECT ST","Bishop Allen Dr"
"Brookline St","Waverly St"
"Porter Sq",""
"Broadway","Galileo Galilei Way"
"Massachusetts Ave","Windsor St"
"Cambridge St",""
"North Point Blvd","GILMORE BRDG"
"Trowbridge St","Cambridge St"
"Concord Ave",""
"Washington Ave","Portland St"
"GARDEN ST",""
"ELLERY ST","Massachusetts Ave"
"Vassar St",""
"Cambridge St","IRVING ST"
"Alewife Brook Pky",""
"MAIN ST","Windsor St"
"KIRKLAND ST","SUMNER RD"
"Hampshire St","Amory St"
"Brookline St","Massachusetts Ave"
"Broadway","DAVIS ST"
"Hampshire St",""
"MOUNT AUBURN ST","Willard St"
"MOUNT AUBURN ST",""
"Putnam Ave","River St"
"Winslow St","SHERMAN ST"
"Massachusetts Ave","Vassar St"
"River St","Putnam Ave"
"Massachusetts Ave","GARDEN ST"
"Massachusetts Ave","Amherst St"
"Cambridge St","Antrim St"
"MAGAZINE ST","H"
"Windsor St","Massachusetts Ave"
"Columbia St",""
"Bow St",""
"Portland St","Broadway"
"Concord Ave","Fern St"
"Massachusetts Ave","GLADSTONE ST"
"ELIOT ST","MOUNT AUBURN ST"
"Alewife Brook Pky",""
"Massachusetts Ave","EVERETT ST"
"HURON AVE","Concord Ave"
"Massachusetts Ave",""
"Cedar St","Rindge Ave"
"DUNSTER ST","MOUNT AUBURN ST"
"MOUNT AUBURN ST","Brattle St"
"Massachusetts Ave","Central Sq"
"Wheeler St",""
"Aberdeen Way",""
"Elmwood Ave",""
"Broadway","Columbia St"
"MOUNT AUBURN ST","Coolidge Ave"
"Aberdeen Way",""
"MOONEY ST",""
"Brattle St",""
"Massachusetts Ave",""
"Massachusetts Ave",""
"MOULTON ST","Concord Ave"
"Massachusetts Ave","Inman St"
"Cambridge St","Cardinal Medeiros Ave"
"North Point Blvd","Education Way"
"Cambridge St","ELM ST"
"PROSPECT ST",""
"Massachusetts Ave","PLEASANT ST"
"Bigelow St","Doyle Way"
"MOUNT AUBURN ST","HOLYOKE ST"
"PINE ST",""
"Cambridge St",""
"Alewife Brook Pky",""
"DAVENPORT ST",""
"JFK St","MOUNT AUBURN ST"
"GREEN ST",""
"Cambridge St","Warren St"
"Fairmont Ave","Andrew St"
"MOUNT AUBURN ST","HOLYOKE ST"
"Broadway","PROSPECT ST"
"Gore St","L"
"FIRST ST","Cambridgeside Pl"
"Cambridge St",""
"Alewife Brook Pky",""
"ERIE ST",""
"Blackstone St",""
"HOLYOKE ST",""
"PROSPECT ST","Broadway"
"Gore St","L"
"Broadway",""
"Broadway",""
"Western Ave","Blackstone St"
"River St",""
"REGENT ST",""
"JFK St",""
"Broadway",""
"Walden St","Raymond St"
"MOUNT AUBURN ST","Coolidge Ave"
"Raymond St",""
"Massachusetts Ave","FRESH POND PKY"
"MOUNT AUBURN ST",""
"MEMORIAL DR",""
"Massachusetts Ave",""
"PLYMOUTH ST",""
"FULKERSON ST",""
"MOUNT AUBURN ST",""
"ORCHARD ST","Blake St"
"JFK St","SOUTH ST"
"Putnam Ave","KINNAIRD ST"
"Cambridge St","Columbia St"
"Alewife Brook Pky",""
"Third St","Kendall Sq"
"Windsor St","Cambridge St"
"HARVARD ST","PROSPECT ST"
"Massachusetts Ave","Rindge Ave"
"MOUNT AUBURN ST","PLYMPTON ST"
"Willow St","York St"
"MOUNT AUBURN ST","Coolidge Ave"
"Bow St","Arrow St"
"Hampshire St","PROSPECT ST"
"PEARL ST","Tufts St"
"HANCOCK ST",""
"Concord Ave",""
"Massachusetts Ave","Alewife Brook Pky"
"Rindge Ave",""
"Massachusetts Ave","Vassar St"
"Massachusetts Ave","Shepard St"
"Cambridge St","Massachusetts Ave"
"Massachusetts Ave","STATE ST"
"JAY ST","KINNAIRD ST"
"Massachusetts Ave","Beech St"
"Concord Ave",""
"Massachusetts Ave",""
"MASON ST","GARDEN ST"
"HARDING ST",""
"Massachusetts Ave",""
"PLEASANT ST","GREEN ST"
"Alewife Brook Pky",""
"JEFFERSON PARK",""
"Porter Sq",""
"SHEA RD",""
"Ware St","HARVARD ST"
"PROSPECT ST",""
"Massachusetts Ave","Woodbridge St"
"HURON AVE",""
"Massachusetts Ave",""
"Ames St","Amherst St"
"River St","Blackstone St"
"Broadway","Galileo Galilei Way"
"Winthrop Sq","JFK St"
"DUNSTER ST","MOUNT AUBURN ST"
"Brookline St","Putnam Ave"
"GARDEN ST","Winslow St"
"SHERIDAN ST",""
"Market St","Windsor St"
"MAIN ST","Portland St"
"Porter Rd",""
"White St",""
"Sidney St","ERIE ST"
"Cambridge St","Warren St"
"Alewife Brook Pky",""
"Massachusetts Ave","Linden St"
"Walker St","GARDEN ST"
"Massachusetts Ave","Cogswell Ave"
"HOMER AVE",""
"Massachusetts Ave",""
"Rindge Ave",""
"Broadway",""
"Alewife Brook Pky",""
"GARDEN ST","Shepard St"
"Woodbridge St","Massachusetts Ave"
"FRESH POND PKY","Concord Ave"
"River St","Fairmont Ave"
"Peabody St","Broadway"
"MASON ST","PHILLIPS PL"
"Concord Ave",""
"Second St","Binney St"
"Putnam Ave","PLEASANT ST"
"Franklin St","Blanche St"
"MONTGOMERY ST",""
"LEXINGTON AVE",""
"GARDEN ST","Waterhouse St"
"Hampshire St","Amory St"
"Massachusetts Ave","Washburn Ave"
"Galileo Galilei Way","Broadway"
"Massachusetts Ave",""
"PRENTISS ST","OXFORD AVE"
"Cambridge St",""
"Hampshire St",""
"Massachusetts Ave",""
"Binney St","Rogers St"
"FIRST ST","Cambridgeside Pl"
"MOUNT AUBURN ST","Willard St"
"White St",""
"Windsor St","Market St"
"Massachusetts Ave","Vassar St"
"Massachusetts Ave","Hollis St"
"Amory St",""
"Massachusetts Ave","GARDEN ST"
"Land Blvd","Cambridge Ctr"
"HEWS ST","Callender St"
"Concord Ave",""
"EXETER PARK",""
"MAGAZINE ST","GLENWOOD AVE"
"Massachusetts Ave","Church St"
"MAGAZINE ST",""
"MOUNT AUBURN ST","FRESH POND PKY"
"Porter Sq",""
"White St",""
"Broadway",""
"Concord Ave",""
"Walden St",""
"MOUNT AUBURN ST","Dewolfe St"
"MAIN ST","Ames St"
"GARDEN ST","Massachusetts Ave"
"LOCKE ST",""
"Binney St","Third St"
"Galileo Galilei Way","MAIN ST"
"Galileo Galilei Way","MAIN ST"
"DUDLEY ST","Massachusetts Ave"
"Massachusetts Ave",""
"Binney St","Third St"
"Broadway","QUINCY ST"
"Peabody St","Massachusetts Ave"
"Waterhouse St","Cambridge Common"
"Broadway","Portland St"
"Cambridge St",""
"Cambridge St","Windsor St"
"Brookline Pl","Pilgrim St"
"Sidney St",""
"Massachusetts Ave","LEE ST"
"MOUNT AUBURN ST","DUNSTER ST"
"Massachusetts Ave",""
"MAIN ST","Vassar St"
"MOUNT AUBURN ST",""
"MEMORIAL DR",""
"MOUNT AUBURN ST","Ash St"
"Massachusetts Ave","HARVARD YARD"
"Cambridge St","EIGHTH ST"
"Gore St",""
"Massachusetts Ave","Clarendon Ave"
"GARDEN ST",""
"MOUNT AUBURN ST",""
"Brattle St","Brown St"
"Massachusetts Ave","Arrow St"
"KIRKLAND ST",""
"Cambridge St",""
"William St",""
"MOUNT AUBURN ST","Aberdeen Way"
"Cambridge St",""
"Cambridgeside Pl",""
"New St",""
"PROSPECT ST",""
"Cambridgeside Pl",""
"Cambridge St",""
"Massachusetts Ave","ESSEX ST"
"Cambridge St","Trowbridge St"
"Bishop Allen Dr","ESSEX ST"
"Massachusetts Ave","Landsdowne St"
"Alewife Brook Pky",""
"Sidney St","Putnam Ave"
"Albany St",""
"Cambridge St","OAK ST"
"Cambridge Ctr","Binney St"
"Fresh Pond Ln",""
"Massachusetts Ave",""
"MAIN ST",""
"JFK St",""
"GARDEN ST","MASON ST"
"MEMORIAL DR",""
"Acacia St","Bishop Allen Dr"
"Massachusetts Ave",""
"Clinton St",""
"",""
"Third St",""
"Alewife Brook Pky",""
"Massachusetts Ave","Vassar St"
"Inman St",""
"Broadway",""
"GREEN ST","Bay St"
"MAIN ST","Windsor St"
"Cambridge St","MAPLE AVE"
"Brattle St","HAWTHORNE ST"
"PROSPECT ST","Hampshire St"
"Cushing St",""
"Blanchard Rd",""
"MEMORIAL DR",""
"Massachusetts Ave","Beech St"
"DUNSTABLE RD",""
"PROSPECT ST","HARVARD ST"
"GARDEN ST",""
"GARDEN ST","MASON ST"
"MOUNT AUBURN ST","Willard St"
"Concord Ave",""
"Cambridge St","Columbia St"
"Sixth St","Bent St"
"Windsor St",""
"SHERMAN ST","PEMBERTON ST"
"GOLD STAR RD",""
"Windsor St","HARVARD ST"
"Broadway","Third St"
"PURRINGTON ST","Landsdowne St"
"Moore St",""
"East St","Monsignor OBrien Hwy"
"Bishop Allen Dr","PROSPECT ST"
"Cambridge St","Hampshire St"
"Broadway","ELLERY ST"
"Cambridge St","ROBERTS RD"
"Massachusetts Ave",""
"Walden St","Richdale Ave"
"IVY ST","GARDEN ST"
"PROSPECT ST",""
"Cambridge St","Sixth St"
"MEMORIAL DR",""
"Porter Sq",""
"Massachusetts Ave","PLEASANT ST"
"GRISWOLD ST",""
"HOLWORTHY ST",""
"Alewife Brook Pky",""
"Bigelow St","HARVARD ST"
"Concord Ave","FAWCETT ST"
"Third St","SPRING ST"
"Cambridge St","Windsor St"
"Bishop Allen Dr","Columbia St"
"Thorndike St","Second St"
"Massachusetts Ave","Lancaster St"
"MOUNT AUBURN ST","FRESH POND PKY"
"Broadway","Galileo Galilei Way"
"MURRAY HILL RD",""
"Alewife Brook Pky",""
"ROBERTS RD",""
"Cambridge St",""
"Broadway","PROSPECT ST"
"Massachusetts Ave","GARDEN ST"
"Massachusetts Ave","Rindge Ave"
"PROSPECT ST",""
"GREEN ST","Brookline St"
"Cambridge St",""
"HURLBUT ST","LINNAEAN ST"
"Windsor St",""
"MARIE AVE","HIGHLAND AVE"
"Massachusetts Ave","Rindge Ave"
"SCIARAPPA ST",""
"FULKERSON ST","Binney St"
"PROSPECT ST","Bishop Allen Dr"
"Binney St","Third St"
"SHERMAN ST",""
"MEMORIAL DR","River St"
"PLYMOUTH ST",""
"FAYETTE ST",""
"GROZIER RD",""
"River St","Massachusetts Ave"
"Portland St","MAIN ST"
"Massachusetts Ave","Albany St"
"Rindge Ave",""
"Massachusetts Ave","ELLERY ST"
"SCIARAPPA ST",""
"HURON AVE","Appleton St"
"HURON AVE",""
"Washington Ave","Columbia St"
"Brattle St","Channing St"
"White St",""
"IRVING ST","Kirkland Rd"
"Ware St",""
"Webster Ave",""
"Massachusetts Ave","DAY ST"
"Charles St","FIRST ST"
"JFK St","Brattle St"
"LINE ST",""
"Rockwell St",""
"Massachusetts Ave","EVERETT ST"
"Berkshire St",""
"Aberdeen Way","MOUNT AUBURN ST"
"Portland St","Hampshire St"
"Massachusetts Ave","DOUGLASS ST"
"HOWARD ST","KINNAIRD ST"
"Broadway","ELLERY PL"
"Rindge Ave",""
"Webster Ave","PLYMOUTH ST"
"FAYETTE ST",""
"Arlington St",""
"GARDEN ST","Appian Way"
"Alewife Brook Pky","Concord Ave"
"MEMORIAL DR",""
"Massachusetts Ave","Sidney St"
"MAGAZINE ST","Chestnut St"
"Cambridge St","ELM ST"
"Massachusetts Ave",""
"Massachusetts Ave","Bigelow St"
"FOLLEN ST",""
"Massachusetts Ave","DUNSTER ST"
"Cambridge St","Binney St"
"HOLDEN ST",""
"Bishop Allen Dr","Inman St"
"Galileo Galilei Way","Broadway"
"PLYMPTON ST","MILL ST"
"Brookline St","ERIE ST"
"JEFFERSON ST",""
"Hampshire St",""
"Kendall Sq","Binney St"
"Massachusetts Ave",""
"OXFORD AVE","Wendell St"
"Inman St","Broadway"
"Brattle St","FARWELL PL"
"Cambridge St",""
"Putnam Ave","PLEASANT ST"
"Massachusetts Ave","PLEASANT ST"
"Bennett St",""
"Massachusetts Ave",""
"Washington Ave",""
"GARDEN ST",""
"HARVARD ST","Dana St"
"Massachusetts Ave",""
"MOUNT AUBURN ST","HOLYOKE ST"
"Cambridge St","Berkshire St"
"MOUNT AUBURN ST",""
"Thorndike St",""
"",""
"Binney St",""
"HARVEY ST",""
"Cambridge St","Dana St"
"Rindge Ave",""
"Hampshire St","Bristol St"
"Hampshire St","Bristol St"
"Walden St",""
"Tremont St",""
"White St","Porter Sq"
"Blanchard Rd",""
"Clay St","HARVEY ST"
"Bishop Allen Dr","PROSPECT ST"
"MOUNT AUBURN ST","Aberdeen Way"
"Rice St",""
"PLYMOUTH ST",""
"ROBERTS RD",""
"Western Ave","Putnam Ave"
"MEACH","AM RD"
"Brookline St",""
"Sacramento Pl",""
"Cameron Ave","Seven Pines Ave"
"Massachusetts Ave","Cameron Ave"
"JEFFERSON ST",""
"York St",""
"FIRST ST",""
"Market St",""
"Moore St","HARVARD ST"
"Rindge Ave",""
"Corporal Burns Rd",""
"Porter Rd",""
"PRENTISS ST",""
"Massachusetts Ave","Central Sq"
"Cambridge St",""
"GARFIELD ST",""
"GARDEN ST",""
"Massachusetts Ave",""
"SHERMAN ST",""
"MOUNT AUBURN ST",""
"Massachusetts Ave","Tyler Ct"
"Putnam Ave","Brookline St"
"PEARL ST","Allston St"
"MOUNT AUBURN ST",""
"MYRTLE AVE","MAGNOLIA AVE"
"Hoyt Field",""
"GARDEN ST",""
"Creighton St","Massachusetts Ave"
"Albany St","MASSACHUSETTS  AVE BRDG"
"Norfolk St","Massachusetts Ave"
"MOUNT AUBURN ST",""
"Walden St","MOUNT PLEASANT ST"
"SHERMAN ST",""
"Norfolk St",""
"Massachusetts Ave","Alewife Brook Pky"
"ELM STREET NORTH",""
"EXETER PARK",""
"Cambridge St",""
"Broadway","Inman St"
"Callender St","HEWS ST"
"Massachusetts Ave",""
"Third St",""
"MAGAZINE ST","GREEN ST"
"Massachusetts Ave","Cottage Park Ave"
"Columbia St","Broadway"
"LINNAEAN ST","Walker St"
"PLEASANT ST",""
"MASSACHUSETTS  AVE BRDG",""
"Broadway","Portland St"
"Dana St",""
"Massachusetts Ave",""
"Antrim St",""
"HOWARD ST",""
"River St","Franklin St"
"OXFORD ST","H"
"GREEN ST","Sidney St"
"RESERVOIR ST",""
"Massachusetts Ave","Columbia St"
"Brattle St","Sparks St"
"Windsor St",""
"Bishop Allen Dr",""
"White St",""
"Massachusetts Ave","Sidney St"
"MOUNT AUBURN ST",""
"ROSELAND ST",""
"York St",""
"MAY ST",""
"Western Ave","Putnam Ave"
"Massachusetts Ave","Langdon St"
"MAY ST",""
"Massachusetts Ave","Church St"
"Cambridgeside Pl",""
"Webster Ave","Clark St"
"White St","Porter Sq"
"Bent St",""
"KIRKLAND ST","SUMNER RD"
"Massachusetts Ave","Inman St"
"DUNSTER ST","MOUNT AUBURN ST"
"Massachusetts Ave","PROSPECT ST"
"Massachusetts Ave",""
"GREEN ST","PLEASANT ST"
"Vassar St",""
"Broadway",""
"Cambridge St","Warren St"
"Massachusetts Ave",""
"MOUNT AUBURN ST",""
"Brookline St",""
"GARDEN ST","Appian Way"
"Massachusetts Ave",""
"Wood St",""
"Cambridge St",""
"Chauncy St",""
"Concord Ave","DONNELL ST"
"Cambridge St",""
"Massachusetts Ave",""
"Broadway",""
"FAYETTE ST",""
"Cambridge St",""
"HURON AVE","LEXINGTON AVE"
"QUINCY ST",""
"Putnam Ave","NEWTON ST"
"ELM ST",""
"GREEN ST","PLEASANT ST"
"Massachusetts Ave",""
"Concord Ave",""
2,"MOUNT AUBURN ST"
"Rindge Ave","Yerxa Rd"
"GREEN ST",""
"Massachusetts Ave","Norfolk St"
"Third St","HURLEY ST"
"Rindge Ave",""
"Third St","Cambridge St"
"","Bishop Allen Dr"
"MOUNT AUBURN ST",""
"GREEN ST","HANCOCK ST"
"JFK St","Brattle St"
"Sixth St",""
"Aberdeen Way",""
"HURON AVE",""
"Massachusetts Ave","Vassar St"
"HURON AVE",""
"PROSPECT ST","Broadway"
"Binney St","Second St"
"Massachusetts Ave","FRONT ST"
"Norfolk St",""
"Brattle St","Ash St"
"ELLERY ST","Massachusetts Ave"
"Broadway",""
"Massachusetts Ave",""
"Broadway","PROSPECT ST"
"Blanchard Rd",""
"Massachusetts Ave","Walden St"
"Vassar St","Amesbury St"
"Rindge Ave",""
"MAPLE AVE","Broadway"
"MAPLE AVE",""
"Massachusetts Ave",""
"Cambridge St","H"
"PRESCOTT ST",""
"Brattle St",""
"Massachusetts Ave","Shepard St"
"MAIN ST","Portland St"
"Rindge Ave","MIDDLESEX ST"
"Broadway","LEE ST"
"Concord Ave","Blanchard Rd"
"Massachusetts Ave","Tyler Ct"
"Western Ave","Putnam Ave"
"Sixth St","Binney St"
"ELIOT ST",""
"Massachusetts Ave","Waterhouse St"
"Massachusetts Ave","FRESH POND PKY"
"KINNAIRD ST","Bay St"
"MAIN ST","Windsor St"
"Broadway","PROSPECT ST"
"PROSPECT ST","Hampshire St"
"KIRKLAND PL","IRVING ST"
"Hampshire St","Tremont St"
"Thingvalla Ave","Sullivan Rd"
"HARVARD ST",""
"HAWTHORNE ST",""
"MOUNT AUBURN ST",""
"Albany St",""
"Walden St",""
"ELIOT ST",""
"White St",""
"FRESH POND PKY",""
"HURON AVE","RESERVOIR ST"
"Technology Sq","Portland St"
"Alewife Brook Pky",""
"Concord Ave",""
"Binney St","Second St"
"Massachusetts Ave",""
"MOUNT AUBURN ST",""
"Rindge Ave","Clifton St"
"Cambridge St",""
"MEMORIAL DR",""
"Broadway",""
"HARVARD ST","Norfolk St"
"Cambridge Pky",""
"Third St","LINSKY WAY"
"Harrington Ter",""
"River St","Franklin St"
"Cambridge St","SEVENTH ST"
"FRESH POND PKY",""
"Alewife Brook Pky",""
"FROST ST",""
"Cambridgeside Pl",""
"Sidney St","PACIFIC ST"
"MAIN ST","MEMORIAL DR"
"Putnam Ave","KINNAIRD ST"
"Webster Ave","Bristol St"
"River St","Auburn St"
"MEMORIAL DR",""
"Cambridge St","Antrim St"
"Concord Ave",""
"Broadway","Windsor St"
"Cambridge St","Third St"
"Massachusetts Ave","HARWELL DR"
"HURON AVE","FAYERWEATHER ST"
"Western Ave","Putnam Ave"
"Alewife Brook Pky",""
"Rindge Ave","Haskell St"
"Franklin St",""
"SOMERVILLE AVE",""
"Massachusetts Ave",""
"MAGAZINE ST","Chalk St"
"Cambridge St","ROBERTS RD"
"MAIN ST","Windsor St"
"Jackson Cir",""
"Sellers St","Massachusetts Ave"
"GREEN ST","Putnam Ave"
"Third St","Gore St"
"Broadway","PROSPECT ST"
"Willow St","Cambridge St"
"MOUNT AUBURN ST",""
"Gore St",""
"Broadway",""
"Concord Ave",""
"Norfolk St","Cambridge St"
"Callender St","Magee St"
"Putnam Ave",""
"River St",""
"ROSELAND ST",""
"Massachusetts Ave",""
"Binney St",""
"Sixth St","Bent St"
"Church St","HARVARD SQ"
"DAVIS ST","HARVARD ST"
"Third St","Monsignor OBrien Hwy"
"HURON AVE","GARDEN ST"
"FIRST ST",""
"Broadway",""
"Cambridge St","QUINCY ST"
"SHERMAN ST",""
"PEARL ST","William St"
"PROSPECT ST","Hampshire St"
"Massachusetts Ave","LINNAEAN ST"
"JFK St",""
"PROSPECT ST",""
"Bishop Allen Dr","Columbia St"
"Broadway",""
"Massachusetts Ave","Vassar St"
"Thorndike St",""
"Windsor St","Broadway"
"Cambridge St",""
"PROSPECT ST","Broadway"
"Putnam Ave","MAGAZINE ST"
"Massachusetts Ave","Norfolk St"
"PARK AVE","HIGH ST"
"Massachusetts Ave",""
"Vassar St",""
"Concord Ave","MOULTON ST"
"MOUNT AUBURN ST","Coolidge Hill Rd"
"DUNSTER ST","MOUNT AUBURN ST"
"Concord Ave",""
"Massachusetts Ave",""
"HARVARD ST",""
"Massachusetts Ave","DUDLEY ST"
"Massachusetts Ave","GARDEN ST"
"Beech St","ORCHARD ST"
"Concord Ave","HURON AVE"
"Bond St","Concord Ave"
"Windsor St",""
"Cambridge St","Hampshire St"
"White St",""
"Washington St","Windsor St"
"Massachusetts Ave",""
"Third St","SPRING ST"
"Alewife Brook Pky",""
"Walden Square Rd",""
"River St",""
"Kendall St",""
"JFK St","ELIOT ST"
"Hampshire St","Tremont St"
"",""
"Franklin St","Brookline St"
"Massachusetts Ave","STATE ST"
"Putnam Ave","Callender St"
"Broadway","Norfolk St"
"Massachusetts Ave",""
"Hampshire St","Portland St"
"Alewife Brook Pky",""
"Brattle St",""
"Massachusetts Ave",""
"Inman St","Inman Pl"
"Washington Ave","Norfolk St"
"Massachusetts Ave","Landsdowne St"
"PEARL ST","ERIE ST"
"Magee St","Putnam Ave"
"Cambridge St","QUINCY ST"
"Massachusetts Ave","Woodbridge St"
"SHERMAN ST",""
"MAIN ST","Columbia St"
"Ash St","Brattle St"
"Third St",""
"Hampshire St","Tremont St"
"Columbia St",""
"New St","FRESH POND PKY"
"MOUNT AUBURN ST",""
"Massachusetts Ave","Alewife Brook Pky"
"MAGNOLIA AVE","HOVEY AVE"
"MOUNT AUBURN ST","Massachusetts Ave"
"RESERVOIR ST",""
"Concord Ave",""
"GARDEN ST",""
"JFK St",""
"Putnam Ave","SURREY ST"
"Massachusetts Ave",""
"Broadway","Tremont St"
"MAIN ST",""
"Vassar St",""
"QUINCY ST","HARVARD ST"
"Western Ave","Putnam Ave"
"Coolidge Ave","MOUNT AUBURN ST"
"Columbia St",""
"Cambridge St","Norfolk St"
"Windsor St",""
"Hampshire St","Portland St"
"JFK St","ELIOT ST"
"Windsor St","MAIN ST"
"GREEN ST",""
"Hampshire St",""
"Cambridge St","Willow St"
"Massachusetts Ave","HANCOCK ST"
"Alewife Brook Pky",""
"Columbia St","Hampshire St"
"Cambridgepark Dr",""
"Concord Ave","New St"
"Massachusetts Ave","Rindge Ave"
"Binney St","FIRST ST"
"Columbia St","Bishop Allen Dr"
"SHERMAN ST",""
"Washington Ave",""
"Cambridge St","Sixth St"
"GREEN ST","PLEASANT ST"
"MOUNT AUBURN ST","Aberdeen Ct"
"Vassar St",""
"MAIN ST","Vassar St"
"Rindge Ave",""
"HUDSON PL","Bow St"
"Dana St",""
"GARDEN ST","Massachusetts Ave"
"Market St","Columbia St"
"Massachusetts Ave","Sidney St"
"Albany St","PACIFIC ST"
"Brookline St","GREEN ST"
"Blanchard Rd",""
"Massachusetts Ave",""
"SPRINGFIELD ST","Cambridge St"
"Massachusetts Ave","Cameron Ave"
"MOUNT AUBURN ST","JFK St"
"Webster Ave","Hampshire St"
"Massachusetts Ave","DOVER ST"
"Bishop Allen Dr",""
"Massachusetts Ave",""
"MAIN ST","Sidney St"
"Sidney St","PACIFIC ST"
"Cambridge Ctr","Broadway"
"Rindge Ave","Yerxa Rd"
"Columbia St",""
"Coolidge Ave","MOUNT AUBURN ST"
"Peabody St","Massachusetts Ave"
"JFK St",""
"Massachusetts Ave","Walden St"
"Walden St","Concord Ave"
"Hampshire St","Webster Ave"
"MOUNT AUBURN ST",""
"Third St",""
"MAGAZINE ST","Putnam Ave"
"GRANITE ST",""
"Roosevelt Towers",""
"GREEN ST",""
"Cambridge St",""
"Binney St","Third St"
"PROSPECT ST",""
"Third St","SPRING ST"
"River St",""
"Hampshire St","Portland St"
"Columbia St","Hampshire St"
"Massachusetts Ave","GARDEN ST"
"Clifton St",""
"Cambridge St",""
"Massachusetts Ave","LINNAEAN ST"
"Cambridge St",""
"Hampshire St","Tremont St"
"Appleton St","Brattle St"
"Portland St","MAIN ST"
"Concord Ave",""
"Cambridge St",""
"GARDEN ST",""
"ROSELAND ST","FROST ST"
"FIFTH ST",""
"Land Blvd",""
"Massachusetts Ave",""
"Inman St",""
"Massachusetts Ave",""
"Third St","SPRING ST"
"MOUNT AUBURN ST","Belmont St"
"Massachusetts Ave","DUDLEY ST"
"Massachusetts Ave","Waterhouse St"
"Blanchard Rd",""
"Massachusetts Ave","Cogswell Ave"
"Massachusetts Ave","Rindge Ave"
"Massachusetts Ave","Wendell St"
"Rindge Ave","Jackson Pl"
"Brattle St","MOUNT AUBURN ST"
"Bigelow St",""
"Charles St",""
"ROCKINGH","AM ST"
"Cambridge St",""
"Massachusetts Ave",""
"Broadway","Third St"
"Hampshire St","ELM ST"
"ELM ST",""
"Broadway","Galileo Galilei Way"
"Massachusetts Ave",""
"DUNSTER ST","MOUNT AUBURN ST"
"Massachusetts Ave",""
"FIRST ST","Athenaeum St"
"FLORENCE ST",""
"Albany St",""
"Galileo Galilei Way","MAIN ST"
"Third St","Rogers St"
"MOUNT AUBURN ST","Aberdeen Way"
"Massachusetts Ave",""
"Massachusetts Ave",""
"","Webster Ave"
"Porter Sq",""
"Massachusetts Ave",""
"Cambridge St","Tremont St"
"Binney St","FIRST ST"
"STEARNS ST",""
"Massachusetts Ave","Windsor St"
"MOUNT AUBURN ST","HAWTHORNE ST"
"FIRST ST","Binney St"
"PLEASANT ST","Chestnut St"
"PROSPECT ST","HARVARD ST"
"GARDEN ST","Walden St"
"Massachusetts Ave","Trowbridge St"
"Concord Ave",""
"Pilgrim St",""
"Massachusetts Ave",""
"MOUNT AUBURN ST","Coolidge Ave"
"Woodbridge St",""
"Bent St","FIFTH ST"
"Massachusetts Ave","PLYMOUTH ST"
"Massachusetts Ave","Amherst Alley"
