"Street_Name","Cross_Street"
"PROSPECT ST","HARVARD ST"
"Massachusetts Ave","Norfolk St"
"Belmont St","Cushing St"
"",""
"ROSELAND ST","FROST ST"
"Concord Ave",""
"Hampshire St","Union St"
"H","AMMOND ST"
"Upland Rd","NEWELL ST"
"Cambridge St","Camelia Ave"
"MEMORIAL DR",""
"MEMORIAL DR",""
"Massachusetts Ave",""
"Columbia St","Hampshire St"
"Porter Sq",""
"Carlisle St","Tremont St"
"Rindge Ave",""
"MOUNT AUBURN ST","MAYNARD PL"
"HAWTHORNE ST","MOUNT AUBURN ST"
"Massachusetts Ave",""
"Hampshire St","Columbia St"
"MAGAZINE ST",""
"Cambridge St","Massachusetts Ave"
"Massachusetts Ave",""
"Broadway","Galileo Galilei Way"
"Western Ave","PLEASANT ST"
"MOUNT AUBURN ST",""
"Cambridge St","Antrim St"
"Alpine St",""
"Brattle St","Appleton St"
"Massachusetts Ave",""
"Albany St","PACIFIC ST"
"Concord Ave",""
"PROSPECT ST","Hampshire St"
"Belmont St","MOUNT AUBURN ST"
"MOUNT AUBURN ST","Brattle St"
"Roosevelt Towers",""
"Hampshire St","Amory St"
"Massachusetts Ave","Windsor St"
"Third St","SPRING ST"
"Amory St",""
"White St",""
"Albany St","Osborn St"
"Cambridge St","Windsor St"
"River St","Franklin St"
"Massachusetts Ave",""
"Third St",""
"MAIN ST","Portland St"
"White St",""
"OXFORD AVE","Wendell St"
"Ellsworth Ave","Cambridge St"
"Broadway",""
"GARDEN ST",""
"Massachusetts Ave","Russell St"
"OXFORD AVE","EVERETT ST"
"LEXINGTON AVE",""
"Hampshire St","Amory St"
"White St",""
"Third St",""
"Massachusetts Ave","Columbus Ave"
"White St",""
"Binney St","Third St"
"Massachusetts Ave","Sidney St"
"KIRKLAND ST","Trowbridge St"
"PLYMOUTH ST",""
"Bond St",""
"MAIN ST",""
"White St",""
"FIFTH ST",""
"Massachusetts Ave",""
"Albany St","Massachusetts Ave"
"Massachusetts Ave","Broadway"
"Cambridge St","HOVEY AVE"
"GARDEN ST","Massachusetts Ave"
"PLEASANT ST","GREEN ST"
"Brattle St",""
"Massachusetts Ave","Columbia St"
"Concord Ave","Blanchard Rd"
"MAPLE AVE",""
"Brattle St",""
"GREEN ST","Sellers St"
"Western Ave","Putnam Ave"
"Cambridge St",""
"Massachusetts Ave","Sidney St"
"KINNAIRD ST",""
"Fairmont Ave","Andrew St"
"Massachusetts Ave",""
"Windsor St",""
"Massachusetts Ave","MEACH"
"Massachusetts Ave",""
"QUINCY ST","OXFORD AVE"
"Massachusetts Ave",""
"IRVING ST",""
"Richdale Ave",""
"Cambridge St","FIRST ST"
"Allston St","Brookline St"
"Hampshire St",""
"Cambridge St","OAK ST"
"Concord Ave",""
"Cambridge St",""
"Hampshire St","Clark St"
"Cambridge St","PRESCOTT ST"
"Massachusetts Ave","Vassar St"
"Rindge Ave",""
"Cambridge St",""
"Concord Ave","Fern St"
"Brattle St",""
"Concord Ave","SMITH PL"
"Broadway","Norfolk St"
"Concord Ave","Wheeler St"
"Broadway","PROSPECT ST"
"Massachusetts Ave",""
"Brattle St",""
"Concord Ave",""
"ELIOT ST",""
"Cambridgeside Pl",""
"HARVARD ST","PROSPECT ST"
"FULKERSON ST",""
"Warren St",""
"Massachusetts Ave","Temple St"
"Cambridge St",""
"Broadway",""
"Concord Ave",""
"Churchill Ave",""
"River St",""
"Cambridge St",""
"Norfolk St",""
"Blackstone St","River St"
"Cambridge St",""
