"id","Month","Day","Year","Time","AM/PM","Day_of_Week","Object_1","Object_2","Street_Number","Street_Name","Cross_Street","Location"
26226,7,16,2011,"03:15:00","AM","Saturday","Auto","Auto","","Massachusetts Ave","Brookline St"," Massachusetts Ave & Brookline St Cambridge, MA"
26946,12,18,2011,"03:15:00","AM","","Auto","Taxi","","Binney St","Third St"," Binney St & Third St Cambridge, MA"
30270,1,14,2012,"03:15:00","AM","Saturday","Auto","Bicycle","","Massachusetts Ave","EXETER PARK"," Massachusetts Ave & EXETER PARK Cambridge, MA"
25641,2,27,2011,"03:20:00","AM","Sunday","Auto","Fixed Object",515,"Concord Ave","FRESH POND PKY","515 Concord Ave Cambridge, MA"
29148,5,18,2013,"03:20:00","AM","Saturday","Auto","Auto","","Broadway","Galileo Galilei Way"," Broadway & Galileo Galilei Way Cambridge, MA"
29736,10,5,2013,"03:22:00","AM","Saturday","Auto","Fixed Object","","Massachusetts Ave","Church St"," Massachusetts Ave & Church St Cambridge, MA"
28865,3,10,2013,"03:29:00","AM","Sunday","Taxi","Auto",485,"Massachusetts Ave","","485 Massachusetts Ave Cambridge, MA"
31554,11,11,2012,"03:30:00","AM","Sunday","Auto","Parked Vehicle",1360,"Massachusetts Ave","","1360 Massachusetts Ave Cambridge, MA"
31631,12,2,2012,"03:30:00","AM","Sunday","Auto","Auto","","Hampshire St","Cardinal Medeiros Ave"," Hampshire St & Cardinal Medeiros Ave Cambridge, M"
25273,1,2,2011,"03:34:00","AM","Monday","Auto","Fixed Object","","PACIFIC ST","Albany St"," PACIFIC ST & Albany St Cambridge, MA"
29441,7,26,2013,"03:37:00","AM","Friday","Auto","Parked Vehicle",431,"HURON AVE","","431 HURON AVE Cambridge, MA"
29045,4,27,2013,"03:40:00","AM","Saturday","Auto","Taxi","","Western Ave","Putnam Ave"," Western Ave & Putnam Ave Cambridge, MA"
29185,5,26,2013,"03:45:00","AM","Sunday","Auto","Fixed Object","","Massachusetts Ave","SOMERVILLE AVE"," Massachusetts Ave & SOMERVILLE AVE Cambridge, MA"
28995,4,16,2013,"03:47:00","AM","Tuesday","Auto","Fixed Object",119,"Windsor St","","119 Windsor St Cambridge, MA"
31268,9,8,2012,"03:50:00","AM","Saturday","Taxi","Parked Vehicle","","HARVARD ST","PROSPECT ST"," HARVARD ST & PROSPECT ST Cambridge, MA"
31431,10,14,2012,"03:50:00","AM","Sunday","Auto","Taxi","","Monsignor OBrien Hwy","Leighton"," Monsignor OBrien Hwy & Leighton Cambridge, MA"
31667,12,10,2012,"03:54:00","AM","Monday","Auto","Auto","","Cambridge St","PROSPECT ST"," Cambridge St & PROSPECT ST Cambridge, MA"
25399,1,25,2011,"03:55:00","AM","Tuesday","Auto","Taxi","","Massachusetts Ave","PROSPECT ST"," Massachusetts Ave & PROSPECT ST Cambridge, MA"
23640,1,1,2010,"04:00:00","AM","Friday","Auto","Parked Vehicle",105,"Coolidge Ave","","105 Coolidge Ave Cambridge, MA"
23699,1,17,2010,"04:00:00","AM","Sunday","Auto","Taxi","","GARDEN ST","Concord Ave"," GARDEN ST & Concord Ave Cambridge, MA"
24283,6,2,2010,"04:00:00","AM","Wednesday","Auto","Fixed Object","","ELIOT ST","Bennett St"," ELIOT ST & Bennett St Cambridge, MA"
28601,1,8,2013,"04:00:00","AM","Tuesday","Auto","Parked Vehicle","","HOLWORTHY ST",""," HOLWORTHY ST &  Cambridge, MA"
31067,7,29,2012,"04:00:00","AM","Sunday","Auto","Parked Vehicle",325,"Vassar St","","325 Vassar St Cambridge, MA"
31180,8,22,2012,"04:05:00","AM","Wednesday","Auto","Pedestrian","","Antrim St","Broadway"," Antrim St & Broadway Cambridge, MA"
29999,11,28,2013,"04:11:00","AM","Thursday","Auto","Auto",43,"Cushing St","","43 Cushing St Cambridge, MA"
30784,5,20,2012,"04:26:00","AM","Sunday","Auto","Parked Vehicle","","GARDEN ST","FERNALD DR"," GARDEN ST & FERNALD DR Cambridge, MA"
25416,1,27,2011,"04:30:00","AM","Thursday","Truck","Parked Vehicle",13,"Walden Square Rd","","13 Walden Square Rd Cambridge, MA"
29313,6,23,2013,"04:37:00","AM","Sunday","Auto","Auto",178,"HARVARD ST","","178 HARVARD ST Cambridge, MA"
