"Month","Day","Year","Location","Object_1","Object_2","Events"
1,26,2010," Third St & Otis St Cambridge, MA","Auto","Parked Vehicle","Rain"
1,26,2010," Third St & Otis St Cambridge, MA","Auto","Parked Vehicle","Rain"
1,16,2010,"175 HOLWORTHY ST Cambridge, MA","Auto","Parked Vehicle",""
1,16,2010,"175 HOLWORTHY ST Cambridge, MA","Auto","Parked Vehicle",""
1,25,2010,"186 Alewife Brook Pky Cambridge, MA","Auto","Parked Vehicle","Rain"
1,25,2010,"186 Alewife Brook Pky Cambridge, MA","Auto","Parked Vehicle","Rain"
1,26,2010," OXFORD AVE & EVERETT ST Cambridge, MA","Auto","Pedestrian","Rain"
1,26,2010," OXFORD AVE & EVERETT ST Cambridge, MA","Auto","Pedestrian","Rain"
1,27,2010,"49 White St Cambridge, MA","Auto","Parked Vehicle",""
1,27,2010,"49 White St Cambridge, MA","Auto","Parked Vehicle",""
1,27,2010,"1 White St Cambridge, MA","Auto","Auto",""
1,27,2010,"1 White St Cambridge, MA","Auto","Auto",""
1,28,2010,"105 Windsor St Cambridge, MA","Auto","Fixed Object","Fog-Snow"
1,28,2010,"105 Windsor St Cambridge, MA","Auto","Fixed Object","Fog-Snow"
1,28,2010,"","Auto","Parked Vehicle","Fog-Snow"
1,28,2010,"","Auto","Parked Vehicle","Fog-Snow"
1,29,2010," Jackson St & DUDLEY ST Cambridge, MA","Auto","Auto",""
1,29,2010," Jackson St & DUDLEY ST Cambridge, MA","Auto","Auto",""
1,29,2010,"1 Broadway Cambridge, MA","Auto","Auto",""
1,29,2010,"1 Broadway Cambridge, MA","Auto","Auto",""
1,29,2010," MOUNT AUBURN ST & Putnam Ave Cambridge, MA","Auto","Auto",""
1,29,2010," MOUNT AUBURN ST & Putnam Ave Cambridge, MA","Auto","Auto",""
1,30,2010," Broadway & Galileo Galilei Way Cambridge, MA","Auto","Auto",""
1,30,2010," Broadway & Galileo Galilei Way Cambridge, MA","Auto","Auto",""
1,30,2010," Raymond St & HURON AVE Cambridge, MA","Auto","Auto",""
1,30,2010," Raymond St & HURON AVE Cambridge, MA","Auto","Auto",""
1,31,2010,"58 OXFORD AVE Cambridge, MA","Auto","Auto",""
1,31,2010,"58 OXFORD AVE Cambridge, MA","Auto","Auto",""
1,31,2010," MASON ST & GARDEN ST Cambridge, MA","Auto","Auto",""
1,31,2010," MASON ST & GARDEN ST Cambridge, MA","Auto","Auto",""
1,31,2010," Concord Ave & Buckingham St Cambridge, MA","Auto","Auto",""
1,31,2010," Concord Ave & Buckingham St Cambridge, MA","Auto","Auto",""
2,1,2010," SCIARAPPA ST & Otis St Cambridge, MA","Auto","Parked Vehicle",""
2,1,2010," SCIARAPPA ST & Otis St Cambridge, MA","Auto","Parked Vehicle",""
2,1,2010," Broadway & Galileo Galilei Way Cambridge, MA","Auto","Pedestrian",""
2,1,2010," Broadway & Galileo Galilei Way Cambridge, MA","Auto","Pedestrian",""
2,1,2010," Galileo Galilei Way & Broadway Cambridge, MA","Auto","Pedestrian",""
2,1,2010," Galileo Galilei Way & Broadway Cambridge, MA","Auto","Pedestrian",""
2,2,2010," MAGAZINE ST & Auburn St Cambridge, MA","Auto","Auto",""
2,2,2010," MAGAZINE ST & Auburn St Cambridge, MA","Auto","Auto",""
1,31,2010," Massachusetts Ave & Waterhouse St Cambridge, MA","Auto","Auto",""
1,31,2010," Massachusetts Ave & Waterhouse St Cambridge, MA","Auto","Auto",""
2,1,2010," SHERMAN ST & Cadbury Rd Cambridge, MA","Auto","Auto",""
2,1,2010," SHERMAN ST & Cadbury Rd Cambridge, MA","Auto","Auto",""
2,2,2010," ESSEX ST & Bishop Allen Dr Cambridge, MA","Auto","Parked Vehicle",""
2,2,2010," ESSEX ST & Bishop Allen Dr Cambridge, MA","Auto","Parked Vehicle",""
1,25,2010," Cambridge St & Windsor St Cambridge, MA","Auto","Auto","Rain"
1,25,2010," Cambridge St & Windsor St Cambridge, MA","Auto","Auto","Rain"
1,26,2010," Western Ave & Massachusetts Ave Cambridge, MA","Truck","Pedestrian","Rain"
1,26,2010," Western Ave & Massachusetts Ave Cambridge, MA","Truck","Pedestrian","Rain"
2,3,2010," Cambridge St & ELM ST Cambridge, MA","Auto","Pedestrian","Snow"
2,3,2010," Cambridge St & ELM ST Cambridge, MA","Auto","Pedestrian","Snow"
2,3,2010,"1220 Cambridge St Cambridge, MA","Auto","Parked Vehicle","Snow"
2,3,2010,"1220 Cambridge St Cambridge, MA","Auto","Parked Vehicle","Snow"
2,2,2010," Lawn St & OXFORD AVE Cambridge, MA","Auto","Parked Vehicle",""
2,2,2010," Lawn St & OXFORD AVE Cambridge, MA","Auto","Parked Vehicle",""
2,4,2010," ELIOT ST & JFK St Cambridge, MA","Auto","Auto",""
2,4,2010," ELIOT ST & JFK St Cambridge, MA","Auto","Auto",""
2,4,2010," QUINCY ST & HARVARD ST Cambridge, MA","Taxi","Bus (Other)",""
2,4,2010," QUINCY ST & HARVARD ST Cambridge, MA","Taxi","Bus (Other)",""
2,4,2010," Windsor St & Cambridge St Cambridge, MA","Auto","Pedestrian",""
2,4,2010," Windsor St & Cambridge St Cambridge, MA","Auto","Pedestrian",""
2,4,2010," MAGAZINE ST & Allston St Cambridge, MA","Auto","Auto",""
2,4,2010," MAGAZINE ST & Allston St Cambridge, MA","Auto","Auto",""
2,4,2010," Broadway & Ware St Cambridge, MA","Auto","Bicycle",""
2,4,2010," Broadway & Ware St Cambridge, MA","Auto","Bicycle",""
2,5,2010,"168 Hampshire St Cambridge, MA","Auto","Truck",""
2,5,2010,"168 Hampshire St Cambridge, MA","Auto","Truck",""
2,7,2010,"575 MEMORIAL DR Cambridge, MA","Auto","Fixed Object",""
2,7,2010,"575 MEMORIAL DR Cambridge, MA","Auto","Fixed Object",""
2,5,2010," DAVENPORT ST &  Cambridge, MA","Truck","Auto",""
2,5,2010," DAVENPORT ST &  Cambridge, MA","Truck","Auto",""
2,6,2010,"535 Windsor St Cambridge, MA","Auto","Auto","Snow"
2,6,2010,"535 Windsor St Cambridge, MA","Auto","Auto","Snow"
2,7,2010,"20 SUFFOLK ST Cambridge, MA","Auto","Auto",""
2,7,2010,"20 SUFFOLK ST Cambridge, MA","Auto","Auto",""
2,8,2010,"1 Cambridge Ctr Cambridge, MA","Auto","Pedestrian",""
2,8,2010,"1 Cambridge Ctr Cambridge, MA","Auto","Pedestrian",""
2,8,2010," GARDEN ST & LINNAEAN ST Cambridge, MA","Auto","Auto",""
2,8,2010," GARDEN ST & LINNAEAN ST Cambridge, MA","Auto","Auto",""
2,8,2010,"78 MOUNT AUBURN ST Cambridge, MA","Truck","Pedestrian",""
2,8,2010,"78 MOUNT AUBURN ST Cambridge, MA","Truck","Pedestrian",""
2,8,2010,"1 Porter Sq Cambridge, MA","Auto","Parked Vehicle",""
2,8,2010,"1 Porter Sq Cambridge, MA","Auto","Parked Vehicle",""
2,9,2010," Massachusetts Ave & Vassar St Cambridge, MA","Auto","Auto",""
2,9,2010," Massachusetts Ave & Vassar St Cambridge, MA","Auto","Auto",""
2,9,2010," Massachusetts Ave & Hollis St Cambridge, MA","Auto","Auto",""
2,9,2010," Massachusetts Ave & Hollis St Cambridge, MA","Auto","Auto",""
2,9,2010," Third St & HURLEY ST Cambridge, MA","Auto","Auto",""
2,9,2010," Third St & HURLEY ST Cambridge, MA","Auto","Auto",""
2,9,2010," MOUNT AUBURN ST & Massachusetts Ave Cambridge, MA","Auto","Auto",""
2,9,2010," MOUNT AUBURN ST & Massachusetts Ave Cambridge, MA","Auto","Auto",""
