"id","Month","Day","Year","Location","Events"
24271,6,1,2010," Cambridge St & Warren St Cambridge, MA","Rain-Thunde"
24271,6,1,2010," Cambridge St & Warren St Cambridge, MA","Rain-Thunderstorm"
24272,6,1,2010," Cambridge St & PROSPECT ST Cambridge, MA","Rain-Thunde"
24272,6,1,2010," Cambridge St & PROSPECT ST Cambridge, MA","Rain-Thunderstorm"
24273,6,1,2010,"147 ELM ST Cambridge, MA","Rain-Thunde"
24273,6,1,2010,"147 ELM ST Cambridge, MA","Rain-Thunderstorm"
24274,6,1,2010," Hampshire St & Tremont St Cambridge, MA","Rain-Thunde"
24274,6,1,2010," Hampshire St & Tremont St Cambridge, MA","Rain-Thunderstorm"
24275,6,1,2010," Broadway & Norfolk St Cambridge, MA","Rain-Thunde"
24275,6,1,2010," Broadway & Norfolk St Cambridge, MA","Rain-Thunderstorm"
24276,6,1,2010," ROSELAND ST & Massachusetts Ave Cambridge, MA","Rain-Thunde"
24276,6,1,2010," ROSELAND ST & Massachusetts Ave Cambridge, MA","Rain-Thunderstorm"
24277,6,1,2010,"147 Hampshire St Cambridge, MA","Rain-Thunde"
24277,6,1,2010,"147 Hampshire St Cambridge, MA","Rain-Thunderstorm"
24278,5,20,2010,"186 Alewife Brook Pky Cambridge, MA",""
24278,5,20,2010,"186 Alewife Brook Pky Cambridge, MA",""
24279,6,1,2010,"48 JFK St Cambridge, MA","Rain-Thunde"
24279,6,1,2010,"48 JFK St Cambridge, MA","Rain-Thunderstorm"
24280,5,29,2010,"50 Brattle St Cambridge, MA",""
24280,5,29,2010,"50 Brattle St Cambridge, MA",""
24281,6,2,2010," Binney St & Broadway Cambridge, MA","Fog"
24281,6,2,2010," Binney St & Broadway Cambridge, MA","Fog"
24282,6,2,2010," Dana St & Broadway Cambridge, MA","Fog"
24282,6,2,2010," Dana St & Broadway Cambridge, MA","Fog"
24283,6,2,2010," ELIOT ST & Bennett St Cambridge, MA","Fog"
24283,6,2,2010," ELIOT ST & Bennett St Cambridge, MA","Fog"
24284,6,3,2010," Massachusetts Ave & LINNAEAN ST Cambridge, MA","Fog-Rain-Th"
24284,6,3,2010," Massachusetts Ave & LINNAEAN ST Cambridge, MA","Fog-Rain-Thunderstorm"
24285,6,2,2010,"15 Cambridge Ctr Cambridge, MA","Fog"
24285,6,2,2010,"15 Cambridge Ctr Cambridge, MA","Fog"
24286,6,2,2010," Cambridge St & ROBERTS RD Cambridge, MA","Fog"
24286,6,2,2010," Cambridge St & ROBERTS RD Cambridge, MA","Fog"
24287,6,2,2010," HURON AVE & Sparks St Cambridge, MA","Fog"
24287,6,2,2010," HURON AVE & Sparks St Cambridge, MA","Fog"
24288,6,3,2010," Webster Ave & ELM ST Cambridge, MA","Fog-Rain-Th"
24288,6,3,2010," Webster Ave & ELM ST Cambridge, MA","Fog-Rain-Thunderstorm"
24289,6,3,2010,"1544 Cambridge St Cambridge, MA","Fog-Rain-Th"
24289,6,3,2010,"1544 Cambridge St Cambridge, MA","Fog-Rain-Thunderstorm"
24290,6,3,2010,"350 Rindge Ave Cambridge, MA","Fog-Rain-Th"
24290,6,3,2010,"350 Rindge Ave Cambridge, MA","Fog-Rain-Thunderstorm"
24291,6,3,2010," Western Ave & HOWARD ST Cambridge, MA","Fog-Rain-Th"
24291,6,3,2010," Western Ave & HOWARD ST Cambridge, MA","Fog-Rain-Thunderstorm"
24292,6,3,2010," Massachusetts Ave & Amherst St Cambridge, MA","Fog-Rain-Th"
24292,6,3,2010," Massachusetts Ave & Amherst St Cambridge, MA","Fog-Rain-Thunderstorm"
24293,6,3,2010,"472 Massachusetts Ave Cambridge, MA","Fog-Rain-Th"
24293,6,3,2010,"472 Massachusetts Ave Cambridge, MA","Fog-Rain-Thunderstorm"
24294,6,4,2010," Ballord Pl &  Cambridge, MA","Fog"
24294,6,4,2010," Ballord Pl &  Cambridge, MA","Fog"
24295,6,4,2010," MAGAZINE ST & Chestnut St Cambridge, MA","Fog"
24295,6,4,2010," MAGAZINE ST & Chestnut St Cambridge, MA","Fog"
24296,6,4,2010," Massachusetts Ave & GARDEN ST Cambridge, MA","Fog"
24296,6,4,2010," Massachusetts Ave & GARDEN ST Cambridge, MA","Fog"
24297,6,4,2010," Broadway & West Pl Cambridge, MA","Fog"
24297,6,4,2010," Broadway & West Pl Cambridge, MA","Fog"
24298,6,4,2010,"528 Windsor St Cambridge, MA","Fog"
24298,6,4,2010,"528 Windsor St Cambridge, MA","Fog"
24299,6,4,2010,"1 Bennett St Cambridge, MA","Fog"
24299,6,4,2010,"1 Bennett St Cambridge, MA","Fog"
24300,6,5,2010," River St & Franklin St Cambridge, MA","Rain-Thunde"
