"id","Month","Day","Year","Location","Object_1","Object_2","Events"
23738,1,28,2010,"105 Windsor St Cambridge, MA","Auto","Fixed Object","Fog-Snow"
23738,1,28,2010,"105 Windsor St Cambridge, MA","Auto","Fixed Object","Fog-Snow"
23739,1,28,2010,"","Auto","Parked Vehicle","Fog-Snow"
23739,1,28,2010,"","Auto","Parked Vehicle","Fog-Snow"
23740,1,29,2010," Jackson St & DUDLEY ST Cambridge, MA","Auto","Auto",""
23740,1,29,2010," Jackson St & DUDLEY ST Cambridge, MA","Auto","Auto",""
23741,1,29,2010,"1 Broadway Cambridge, MA","Auto","Auto",""
23741,1,29,2010,"1 Broadway Cambridge, MA","Auto","Auto",""
23742,1,29,2010," MOUNT AUBURN ST & Putnam Ave Cambridge, MA","Auto","Auto",""
23742,1,29,2010," MOUNT AUBURN ST & Putnam Ave Cambridge, MA","Auto","Auto",""
23743,1,30,2010," Broadway & Galileo Galilei Way Cambridge, MA","Auto","Auto",""
23743,1,30,2010," Broadway & Galileo Galilei Way Cambridge, MA","Auto","Auto",""
23744,1,30,2010," Raymond St & HURON AVE Cambridge, MA","Auto","Auto",""
23744,1,30,2010," Raymond St & HURON AVE Cambridge, MA","Auto","Auto",""
23745,1,31,2010,"58 OXFORD AVE Cambridge, MA","Auto","Auto",""
23745,1,31,2010,"58 OXFORD AVE Cambridge, MA","Auto","Auto",""
23746,1,31,2010," MASON ST & GARDEN ST Cambridge, MA","Auto","Auto",""
23746,1,31,2010," MASON ST & GARDEN ST Cambridge, MA","Auto","Auto",""
23747,1,31,2010," Concord Ave & Buckingham St Cambridge, MA","Auto","Auto",""
23747,1,31,2010," Concord Ave & Buckingham St Cambridge, MA","Auto","Auto",""
23748,2,1,2010," SCIARAPPA ST & Otis St Cambridge, MA","Auto","Parked Vehicle",""
23748,2,1,2010," SCIARAPPA ST & Otis St Cambridge, MA","Auto","Parked Vehicle",""
23749,2,1,2010," Broadway & Galileo Galilei Way Cambridge, MA","Auto","Pedestrian",""
23749,2,1,2010," Broadway & Galileo Galilei Way Cambridge, MA","Auto","Pedestrian",""
23750,2,1,2010," Galileo Galilei Way & Broadway Cambridge, MA","Auto","Pedestrian",""
23750,2,1,2010," Galileo Galilei Way & Broadway Cambridge, MA","Auto","Pedestrian",""
23751,2,2,2010," MAGAZINE ST & Auburn St Cambridge, MA","Auto","Auto",""
23751,2,2,2010," MAGAZINE ST & Auburn St Cambridge, MA","Auto","Auto",""
23752,1,31,2010," Massachusetts Ave & Waterhouse St Cambridge, MA","Auto","Auto",""
23752,1,31,2010," Massachusetts Ave & Waterhouse St Cambridge, MA","Auto","Auto",""
23753,2,1,2010," SHERMAN ST & Cadbury Rd Cambridge, MA","Auto","Auto",""
23753,2,1,2010," SHERMAN ST & Cadbury Rd Cambridge, MA","Auto","Auto",""
23754,2,2,2010," ESSEX ST & Bishop Allen Dr Cambridge, MA","Auto","Parked Vehicle",""
23754,2,2,2010," ESSEX ST & Bishop Allen Dr Cambridge, MA","Auto","Parked Vehicle",""
23755,1,25,2010," Cambridge St & Windsor St Cambridge, MA","Auto","Auto","Rain"
23755,1,25,2010," Cambridge St & Windsor St Cambridge, MA","Auto","Auto","Rain"
23756,1,26,2010," Western Ave & Massachusetts Ave Cambridge, MA","Truck","Pedestrian","Rain"
23756,1,26,2010," Western Ave & Massachusetts Ave Cambridge, MA","Truck","Pedestrian","Rain"
23757,2,3,2010," Cambridge St & ELM ST Cambridge, MA","Auto","Pedestrian","Snow"
23757,2,3,2010," Cambridge St & ELM ST Cambridge, MA","Auto","Pedestrian","Snow"
23758,2,3,2010,"1220 Cambridge St Cambridge, MA","Auto","Parked Vehicle","Snow"
23758,2,3,2010,"1220 Cambridge St Cambridge, MA","Auto","Parked Vehicle","Snow"
23759,2,2,2010," Lawn St & OXFORD AVE Cambridge, MA","Auto","Parked Vehicle",""
23759,2,2,2010," Lawn St & OXFORD AVE Cambridge, MA","Auto","Parked Vehicle",""
23760,2,4,2010," ELIOT ST & JFK St Cambridge, MA","Auto","Auto",""
23760,2,4,2010," ELIOT ST & JFK St Cambridge, MA","Auto","Auto",""
23761,2,4,2010," QUINCY ST & HARVARD ST Cambridge, MA","Taxi","Bus (Other)",""
23761,2,4,2010," QUINCY ST & HARVARD ST Cambridge, MA","Taxi","Bus (Other)",""
23762,2,4,2010," Windsor St & Cambridge St Cambridge, MA","Auto","Pedestrian",""
